categoryTitle; title ; prop ; price ; fullPrice; imgPath ; categoryUrl;
Битумная черепица Shinglas;Ранчо, Коричневый;Ранчо, Коричневый Вес – 25 кг Длина – 1000 мм Ширина – 335 мм Количество в упаковке – 42 Цена – 276 руб./м2* Заказать консультацию и бесплатный просчет;276;Цена – 276 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/rancho-brown.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Ранчо, Красный;Ранчо, Красный Вес – 25 кг Длина – 1000 мм Ширина – 335 мм Количество в упаковке – 42 Цена – 276 руб./м2* Заказать консультацию и бесплатный просчет;276;Цена – 276 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/rancho-red.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Ранчо Бронзовый;Ранчо Бронзовый Вес – 25 кг Длина – 1000 мм Ширина – 335 мм Количество в упаковке – 42 Цена – 276 руб./м2* Заказать консультацию и бесплатный просчет;276;Цена – 276 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/бронзовый-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Серия Кадриль;Серия Кадриль Коллекция «Кадриль» – 9 цветов, 2 формы нарезки. Легкий и быстрый монтаж кровли! Подробнее...;;;alt="";https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Кадриль, агат;Кадриль, агат Вес – 25,2 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 327 руб./м2* Заказать консультацию и бесплатный просчет;327;Цена – 327 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/kadril_akkord_brown.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Кадриль, Гранат;Кадриль, Гранат Вес – 25, 2 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 327 руб./м2* Заказать консультацию и бесплатный просчет;327;Цена – 327 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/гранат-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Кадриль, Оникс;Кадриль, Оникс Вес – 25,2 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 327 руб./м2* Заказать консультацию и бесплатный просчет;327;Цена – 327 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/kadril-wiski.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Кадриль, Нефрит;Кадриль, Нефрит Вес – 25,2 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 327 руб./м2* Заказать консультацию и бесплатный просчет;327;Цена – 327 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/kadril_green.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Кадриль, Яшма;Кадриль, Яшма Вес – 25,2 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 327 руб./м2* Заказать консультацию и бесплатный просчет;327;Цена – 327 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/kadril_kras_kor.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Кадриль, Турмалин;Кадриль, Турмалин Вес – 25,2 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 236 Цена – 327 руб./м2* Заказать консультацию и бесплатный просчет;327;Цена – 327 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/kadril_red.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Серия Румба;Серия Румба Нарезка – Аккорд Коллекция «Румба» – это 3 фантастических цвета: арахис, мускат, фундук. Выбирайте смело любой цвет, ваши ожидания будут оправданы! Подробнее...;;;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/foxtrot-akkord.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Румба, Фундук;Румба, Фундук Вес – 26, 4 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 327 руб./м2* Заказать консультацию и бесплатный просчет;327;Цена – 327 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/фундук-150x150.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Румба, Мускат;Румба, Мускат Вес – 26, 4 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 327 руб./м2* Заказать консультацию и бесплатный просчет;327;Цена – 327 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/мускат-150x150.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Румба, Арахис;Румба, Арахис Вес – 26, 4 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 327 руб./м2* Заказать консультацию и бесплатный просчет;327;Цена – 327 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/арахис-150x150.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Серия Модерн;Серия Модерн Нарезка – Брикс Коллекция «Модерн» – это 4 фантастических цвета: дюна, ледник, мрамор, плато. Выбирайте смело любой цвет, ваши ожидания будут оправданы! Подробнее...;;;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/foxtrot-akkord.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Модерн, Плато;Модерн, Плато Вес – 32,1 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 338 руб./м2* Заказать консультацию и бесплатный просчет;338;Цена – 338 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/peschanoe_plato-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Модерн, Мрамор;Модерн, Мрамор Вес – 32,1 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 338 руб./м2* Заказать консультацию и бесплатный просчет;338;Цена – 338 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/krasnyi_mramor-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Модерн, Ледник;Модерн, Ледник Вес – 32,1 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 338 руб./м2* Заказать консультацию и бесплатный просчет;338;Цена – 338 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/gornyi_lednik-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Модерн, Дюна;Модерн, Дюна Вес – 32, 1 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 338 руб./м2* Заказать консультацию и бесплатный просчет;338;Цена – 338 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/дюна-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Серия Танго;Серия Танго Нарезка – Бобровый хвост Коллекция «Танго» — оригинальная форма нарезки черепицы. Ваша кровля быстро преобразится, а вы узнаете преимущества Shinglas. Подробнее...;;;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/tango-bobroviy-hvost.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Танго, кленовый;Танго, кленовый Вес – 31,5 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 366 руб./м2* Заказать консультацию и бесплатный просчет;366;Цена – 366 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/tango_red.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Танго, хвойный;Танго, хвойный Вес – 31,5 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 366 руб./м2* Заказать консультацию и бесплатный просчет;366;Цена – 366 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/tango_green.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Танго, осенний;Танго, осенний Вес – 31,5 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 366 руб./м2* Заказать консультацию и бесплатный просчет;366;Цена – 366 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/tango_osenyy.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Танго, панговый;Танго, панговый Вес – 31,5 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 366 руб./м2* Заказать консультацию и бесплатный просчет;366;Цена – 366 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/tango_pangovyy.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Серия Фламенко;Серия Фламенко Нарезка – Трио Коллекция «Фламенко» – это особая форма нарезки битумной черепицы, 6 цветов на выбор. Ваши идеи и кровельный материал Shinglas – мечты сбываются! Подробнее...;;;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/flam-trio.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Фламенко, Коричневый;Фламенко, Коричневый Вес – 32,7 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 366 руб./м2* Заказать консультацию и бесплатный просчет;366;Цена – 366 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/коричневый-150x150.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Фламенко, Антик;Фламенко, Антик Вес – 32,7 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 366 руб./м2* Заказать консультацию и бесплатный просчет;366;Цена – 366 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/антик-150x150.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Фламенко, Арагон;Фламенко, Арагон Вес – 32,7 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 366 руб./м2* Заказать консультацию и бесплатный просчет;366;Цена – 366 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/flam-aragon.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Фламенко, Гранада;Фламенко, Гранада Вес – 32,7 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 366 руб./м2* Заказать консультацию и бесплатный просчет;366;Цена – 366 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/flam-granada.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Фламенко, Толедо;Фламенко, Толедо Вес – 32,7 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 366 руб./м2* Заказать консультацию и бесплатный просчет;366;Цена – 366 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/flam-toledo.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Фламенко, Валенсия;Фламенко, Валенсия Вес – 32,7 кг Длина – 1000 мм Ширина – 333 мм Количество в упаковке – 36 Цена – 366 руб./м2* Заказать консультацию и бесплатный просчет;366;Цена – 366 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/flam-valenciya.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Серия Самба;Серия Самба Нарезка – Соната Серия «Самба» идеальна для практичных людей, желающих купить современный надежный кровельный материал по доступной цене. Подробнее...;;;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/sonata.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Самба, Рубин;Самба, Рубин Вес – 26,4 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 379 руб./м2* Заказать консультацию и бесплатный просчет;379;Цена – 379 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2017/09/рубин-150x150.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Самба, Янтарь;Самба, Янтарь Вес – 26,4 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 379 руб./м2* Заказать консультацию и бесплатный просчет;379;Цена – 379 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/samba_brown.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Самба, Малахит;Самба, Малахит Вес – 26,4 кг Длина – 1000 мм Ширина – 317 мм Количество в упаковке – 36 Цена – 379 руб./м2* Заказать консультацию и бесплатный просчет;379;Цена – 379 руб./м2*;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/samba_green.jpg;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
Битумная черепица Shinglas;Серия Кантри;Серия Кантри Нарезка – Драконий зуб Двухслойная черепица «Кантри» ещё недавно считалась элитным продуктом, но сегодня она доступна каждому. Отличная цена за отличное качество! Подробнее...;;;https://xn--h1akcgggi2a.xn--p1ai/wp-content/uploads/2016/04/dr-zub-country.png;https://xn--h1akcgggi2a.xn--p1ai/katalog-shinglas;
